分类,题干,A,B,C,D,E,正确答案,解析
临床科目,化湿药中有燥湿健脾、发汗解表、祛风湿作⽤的药物是（ ）。,猪苓,茵陈,茯苓,苍术,藿⾹,D,"标准答案：D
出处：押题1.pdf
解析：D项，苍术性⾟、苦，温，⼊脾、胃经，燥湿健脾，发汗解表，祛风湿。本品⽓⾹⾟烈，性温⽽燥。
治湿困脾胃、运化失司、⾷欲不振、消化不良、胃寒草少、腹痛泄泻，⽤苍术厚朴，配陈⽪、⽢草
等；⾟温解表，祛风湿，治关节疼痛、风寒湿症、常配独活、秦艽、⽜膝、薏苡仁、黄柏等。"
临床科目,内⽤清热泻⽕，外⽤收敛⽣肌的药物是（ ）。,丹参,⽞参,芦根,沙参,⽯膏,E,"标准答案：E
出处：押题1.pdf
解析：清热泻⽕药能清⽓分热，有泻⽕泄热的作⽤，适⽤于急性热病。主要品种有⽯膏、知母、栀⼦和芦
根。其中⽯膏内服清热泻⽕，外⽤收敛⽣肌，具有强⼤的清热泻⽕作⽤，善清⽓分实热。"
临床科目,保和丸的主要功能是（ ）。,健脾和胃，消⾷⽌泻,清热利湿，消⾷和胃,清热化湿，涩肠⽌痢,清热解毒，凉⾎⽌痢,消痞除满，健脾和胃,B,"标准答案：B
出处：押题1.pdf
解析：消导药具有健运脾胃、促进消化、消积导滞之功效，适⽤于消化不良、草料停滞、肚腹胀满、腹痛
腹泻等。消导⽅主要有曲蘖散和保和丸。B项，保和丸功能消⾷和胃、清热利湿，主治⾷积停滞，症
见肚腹胀满、⾷欲不振、嗳⽓酸臭，或⼤便失常、⾆苔厚腻、脉滑等。"
临床科目,将中西药物注⼊⽳位或患部起⽌点来治疗疾病称为（ ）。,⽔针疗法,⾎针疗法,⽕针疗法,电针疗法,⽩针疗法,A,"标准答案：A
出处：押题1.pdf
解析：临床上针灸的操作⽅法主要有⽩针疗法、⾎针疗法、⽕针疗法、⽔针疗法、电针疗法、激光针灸疗
法等。A项，⽔针疗法又称⽳位注射疗法，是指将某些中西药液注⼊⽳位或患部痛点、肌⾁起⽌点防
治疾病的⽅法，该疗法将针刺与药物疗法相结合，具有⽅法简便、提⾼疗效并节省药量的特点。
⼆、临床科⽬——A2型题 （每⼀道考题是以⼀个⼩案例出现的，其下
⾯都有A、B、C、D、E五个备选答案。请从中选择⼀个最佳答案。）"
临床科目,"⽝，3⽉龄，购回1⽉余，对主⼈的呼唤⽆反应，饮、⾷欲正常。该⽝⾸先需要检查的脑神经是（
）。",三叉神经,⾆咽神经,视神经,动眼神经,听神经,E,"标准答案：E
出处：押题1.pdf
解析：根据病⽝的临床表现，表明病⽝出现听觉障碍。听觉障碍分为听觉迟钝或完全缺失（聋）和听觉过
敏。因此，⾸先应对该患⽝进⾏听神经检查。听⼒检查⼀般是先将动物眼睛遮盖并避免其他声⾳的
⼲扰，检查者可从不同距离发出声⾳，健康动物听到声⾳后，其头向声⾳发出⽅向回顾，同时外⽿
也做运动，以获得外界的声⾳。"
临床科目,3岁雌⽝，因难产需施剖腹产术，以异氟醚进⾏全⾝⿇醉，合理的⿇醉深度应该是（ ）。,第Ⅲ期2级,第Ⅲ期4级,第Ⅱ期,第Ⅳ期,第Ⅰ期,A,"标准答案：A
出处：押题1.pdf
解析：剖腹产⼿术国内常⽤腰⿇和硬膜外联合⿇醉。⿇醉分期如下：第Ⅰ期（朦胧期或随意运动期）：是由
⿇醉开始⾄意识完全丧失⽌，继⽽转⼊第Ⅱ期。该期主要是⼤脑⽪层的功能被逐渐抑制。第Ⅱ期（兴
奋期或不随意运动期）：是由意识完全丧失⾄深⽽有规则的⾃主呼吸开始时⽌。该期⼤脑⽪层功能
完全受到抑制，⽪层下中枢释放。第Ⅲ期（外科⿇醉期）：是深⽽有规则的⾃主呼吸开始⾄呼吸停
⽌前的阶段。外科⼿术主要在此期的前、中阶段进⾏。本期按其⿇醉深度又分为4级：①Ⅲ/1（Ⅲ期
1级）。痛觉开始丧失，但⿇醉仍较浅，⾻膜、腹膜及⽪肤等敏感组织仍略有感觉。此时动物呼吸规
则，瞳孔开始缩⼩（但以阿托品为⿇醉前⽤药时例外），眼睑、⾓膜及肛门反射存在，眼球震颤缓
慢。②Ⅲ/2（Ⅲ期2级）。眼睑反射由迟钝⾄消失。⾓膜反射略呈迟钝，眼球震颤停⽌，瞳孔继续缩
⼩，呼吸深⽽有规则，肌⾁出现松弛。此期可达到最合适的⿇醉深度。③Ⅲ/3（Ⅲ期3级）。⾓膜反
射由迟钝渐趋消失，肋间肌开始⿇痹，出现浅⽽略带痉挛性的胸式呼吸，瞳孔由于睫状肌的⿇痹⽽
开始放⼤。此时⿇醉已深，⾎压开始下降，脉搏快⽽弱，肌⾁完全松弛。第三眼睑脱出。④Ⅲ/4
（Ⅲ期4级）。此期是本期⿇醉最深的⼀级，实际上⿇醉已过量，动物进⼊危险境况。第Ⅳ期（延髓
⿇痹期）：进⼊此期，⿇醉已严重过量，故临诊上严禁发⽣。此时呼吸停⽌，瞳孔散到最⼤，⼼脏
因缺氧⽽逐渐停⽌跳动，脉搏和全部反射完全消失，必须⽴即抢救，否则死亡瞬即来临。"
临床科目,"奶⽜，离分娩尚有1⽉余。近期出现烦躁不安、乳房胀⼤，临床检查⼼率90次/min，呼吸30
次/min，阴门内有少量清亮黏液。最适合选⽤的治疗药物是（ ）。",黄体酮,雌激素,垂体后叶素,马绒⽑膜促性腺激素,前列腺素,A,"标准答案：A
出处：押题1.pdf
解析：根据奶⽜的临床表现，可以判断该奶⽜出现先兆性流产。处理原则是使⽤抑制⼦宫收缩药安胎，可
采⽤的措施有：①肌内注射孕酮，每⽇或隔⽇⼀次，连⽤数次。习惯性流产，在妊娠的⼀定时间试
⽤孕酮和硫酸阿托品。②给予镇静剂，如溴剂、氯丙嗪等。③禁⽌阴道检查，控制直肠检查次数。"
临床科目,"马，⽿⿐温热，泄泻，泻粪腥臭，尿液短⾚，⼜津⼲黏，⼜渴贪饮，⼜⾊红黄，⾆苔黄腻，脉象
滑数。该病中兽医辨证属于（ ）。",⼤肠湿热,⼤肠液亏,⼤肠冷泻,热结肠道,⾷积⼤肠,A,"标准答案：A
出处：押题1.pdf
解析：根据题意，可辨证为⼤肠湿热。⼤肠湿热多为外感暑湿，或感染疫疠之⽓，以致湿热或疫毒蕴结，
下注于肠，损伤⽓⾎⽽发病，主要见于急性胃肠炎、菌痢等的病程中。治疗原则为清热利湿、调⽓
和⾎。"
临床科目,本病最可能的诊断是（ ）。,肘关节脱位,肩关节脱位,腕关节脱位,闭合性⾻折,⾻裂,D,"标准答案：D
出处：押题1.pdf
解析：⾻折是指在外⼒作⽤下，⾻的完整性或连续性遭受机械破坏，各种家畜均可发⽣，以四肢长⾻发⽣
较为常见。⾻折时两断端互相触碰，可听到⾻摩擦⾳或有⾻摩擦感。D项，闭合性⾻折时未见⽪肤损
伤，患部肿胀，肿胀的程度取决于受伤⾎管的⼤⼩、⾻折的部位以及软组织损伤的轻重。根据赛马
的临床特征，可初步诊断为闭合性⾻折。"
临床科目,本病的确诊⽅法是（ ）。,超声检查,斜板试验,X线检查,关节内窥镜检查,触诊,C,"标准答案：C
出处：押题1.pdf
解析：对于四肢⾻和关节疾患，如⾻折、⾻膜炎、⾻质疏松、⾻坏死、关节周围炎、脱位等，可应⽤X线检
查。C项，X线检查对于跛⾏诊断有着重要的科学和实践价值，⽽且对疾病的经过、预后，甚⾄对合
理的治疗也有很⼤的帮助。"
临床科目,本病最适宜的保守治疗⽅法是（ ）。,酒精热绷带,⽯膏夹板绷带,⽯蜡绷带,复⽅醋酸铅绷带,绷带包扎,B,"标准答案：B
出处：押题1.pdf
解析：对于轻度移位的⾻折，可由助⼿将病肢远端适当牵引后，术者对⾻折部，托压、挤按，使断端对
齐、对正，进⾏整复，同时⽤⽯膏绷带进⾏固定。B项，⽯膏具有良好的塑形性能，对⼤、⼩动物的
四肢⾻折均有较好的固定作⽤，但⽤于⼤动物的⽯膏管型最好夹⼊⾦属板、⽵板等以期加固。
（94～96题共⽤题⼲）
奶⽜，分娩正常，产后当天出现不安、哞叫、兴奋，不久出现四肢肌⾁震颤、站⽴不稳、精神沉
郁、感觉丧失，体温37℃。"
临床科目,最可能发⽣的疾病是（ ）。,⽣产瘫痪,胎⾐不下,产后截瘫,产后败⾎症,酮⾎病,A,"标准答案：A
出处：押题1.pdf
解析：奶⽜⽣产瘫痪又称奶⽜低钙⾎症，是奶⽜分娩前后突然发⽣的⼀种严重的代谢性疾病。其特征是低
⾎钙、全⾝肌⾁⽆⼒、知觉丧失及四肢瘫痪。临床表现为⾷欲减退或废绝，出现惊慌、哞叫、⽬光
凝视等兴奋和敏感症状；头部及四肢肌⾁震颤，不能保持平衡，体温降低等。A项，该奶⽜的症状与
⽣产瘫痪的临床特点基本⼀致，应⾸先考虑⽣产瘫痪。"
临床科目,发病的主要原因是（ ）。,后躯神经受损,⼦宫收缩⽆⼒,低⾎钙,产道及⼦宫感染,低⾎钾,C,"标准答案：C
出处：押题1.pdf
解析：奶⽜⽣产瘫痪又称奶⽜低钙⾎症，是奶⽜分娩前后突然发⽣的⼀种严重的代谢性疾病。特征是低⾎
钙、全⾝肌⾁⽆⼒、知觉丧失及四肢瘫痪。C项，奶⽜⽣产瘫痪主要发⽣于饲养良好的⾼产奶⽜，分
娩前后⾎钙浓度剧烈降低是本病发⽣的主要原因。"
临床科目,最适宜的治疗原则是（ ）。,补充葡萄糖,注射催产素,补充钙剂,补充电解质,抗菌消炎,C,"标准答案：C
出处：押题1.pdf
解析：奶⽜⽣产瘫痪又称奶⽜低钙⾎症，是奶⽜分娩前后突然发⽣的⼀种严重的代谢性疾病，主要发⽣于
饲养良好的⾼产奶⽜，分娩前后⾎钙浓度剧烈降低是本病发⽣的主要原因。C项，静脉注射钙剂或乳
房送风是治疗⽣产瘫痪最有效的治疗⽅法，最常⽤的是硼葡萄糖酸钙溶液。"
临床科目,"某⽝在采⾷中突发吞咽障碍，流涎，⼲呕，烦躁不安；X线检查发现在胸腔⼊⼜前⽓管背侧有⼀
不规则形状的⾼密度阴影。应实施（ ）。
【答案】 A
【解析】
根据病⽝采⾷中突发吞咽障碍、流涎、⼲呕、烦躁不安，X线检查发现在胸腔⼊⼜前⽓管背侧有⼀不
规则形状的⾼密度阴影，表明发⽣了胸部⾷管堵塞，急救应实施开胸术。⽝开胸术适⽤于膈修补、
胸部⾷管堵塞、肺切除以及⼼脏⼿术等。
（99～100题共⽤备选答案）",渗湿,泻下,升阳,滋阴,疏肝,A,"标准答案：A
出处：押题1.pdf
解析：根据病⽝采⾷中突发吞咽障碍、流涎、⼲呕、烦躁不安，X线检查发现在胸腔⼊⼜前⽓管背侧有⼀不
规则形状的⾼密度阴影，表明发⽣了胸部⾷管堵塞，急救应实施开胸术。⽝开胸术适⽤于膈修补、
胸部⾷管堵塞、肺切除以及⼼脏⼿术等。
（99～100题共⽤备选答案）
A.渗湿
B.泻下
C.升阳
D.滋阴
E.疏肝"
综合科目,判断该猪最可能感染（ ）。,细颈囊尾蚴病,蛔⾍病,旋⽑⾍病,胎⽣⽹尾线⾍病,⾖状囊尾蚴病,A,"标准答案：A
出处：押题1.pdf
解析：根据病猪的临床特点和寄⽣⾍的形态学特征，判断该猪最可能感染细颈囊尾蚴病。细颈囊尾蚴病临
床上表现为精神沉郁、虚弱、消瘦、黄疸和体温升⾼。剖检发现肝脏肿⼤、有⼩出⾎点，肝脏和肠
系膜上有黄⾖⾄鸡蛋⼤的⽩⾊囊泡，囊泡内含有透明的液体和⼀个向内凹⼊具有细长颈部的头节。"
综合科目,预防该寄⽣⾍病的措施不包括（ ）。,对⽝定期驱⾍,严禁⽝类进⼊屠宰场,捕杀野⽝,消灭中间宿主淡⽔螺,防⽌⽝粪污染饲料及⽔源,D,"标准答案：D
出处：押题1.pdf
解析：细颈囊尾蚴病的预防的主要⽅法是对⽝定期驱⾍，防⽌⽝粪污染饲料及⽔源，严禁⽝类进⼊屠宰场
以及掳杀野⽝。
（103～105题共⽤题⼲）
⼀猪群发病，体温40～41℃，⼜腔黏膜及⿐盘周围形成⽔疱，有些病猪在蹄冠、蹄叉、蹄壁等部位
出现⽔疱。"
综合科目,实验室诊断应采集的样品为（ ）。,粪便,泪液,尿液,⽔疱液,⿐液,D,"标准答案：D
出处：押题1.pdf
解析：根据病猪临床特征，可初步诊断为猪⼜蹄疫。猪⼜蹄疫的临床上表现为⼜腔黏膜和⿐盘周围形成⽔
疱，有些病猪在蹄冠、蹄叉、蹄壁等部位出现⽔疱。因此，⼜蹄疫实验室诊断采集的最佳病料为⽔
疱液和⽔疱⽪。"
综合科目,本疫区内对本病不易感的动物是（ ）。,⽺,⿅,⽜,骆驼,马,E,"标准答案：E
出处：押题1.pdf
解析：⼜蹄疫病毒以偶蹄动物的易感性较⾼，易感性⾼低依次为黄⽜、牦⽜、⽔⽜、骆驼、绵⽺、⼭⽺、
猪、⿅、⼤象等，⼈对本病毒也具有易感性，但马对⼜蹄疫具有极强的抵抗⼒。因此，本疫区内对
本病不易感的动物为马。"
综合科目,防控该病的措施不包括（ ）。,隔离,免疫接种,治疗,加强饲养管理,封锁,C,"标准答案：C
出处：押题1.pdf
解析：当发⽣⼜蹄疫时，必须⽴即上报疫情，确切诊断，划定疫点、疫区和受威胁区，并分别进⾏封锁和
监督，禁⽌⼈、动物和物品的流动。在严格封锁的基础上，扑杀患病动物及其同群动物，并对其进
⾏⽆害化处理；对剩余的饲料、饮⽔、场地、患病动物污染的道路、圈舍、动物产品及其他物品进
⾏全⾯严格的消毒；周围受威胁猪群应建⽴免疫带，加强饲养管理，进⾏紧急免疫接种。当疫点内
最后⼀头患病动物被扑杀后，3个⽉内不出现新病例时，报上级机关批准，经终末彻底⼤消毒后，可
以解除封锁。
（106～108题共⽤题⼲）
某猪场3⽇龄仔猪发病，主要表现精神沉郁，⾷欲废绝，排黄⾊⽔样稀粪，内含凝乳块，随后仔猪脱
⽔昏迷死亡。剖检可见⼩肠黏膜充⾎，出⾎，胃内有凝乳块，肠系膜淋巴结充⾎⽔肿。"
综合科目,可能的疾病是（ ）。,仔猪红痢,仔猪黄痢,仔猪⽩痢,仔猪副伤寒,猪痢疾,B,"标准答案：B
出处：押题1.pdf
解析：仔猪黄痢、仔猪⽩痢均为仔猪感染⼤肠杆菌。仔猪黄痢是初⽣仔猪的⼀种急性、致死性疾病。临诊
上以腹泻、排黄⾊或黄⽩⾊粪便为特征。仔猪⽩痢临诊上以排灰⽩⾊、腥臭、糨糊状稀粪为特征。
仔猪红痢临诊上以绯红⾊或暗红⾊、腥臭稀粪为特征。"
综合科目,⽤于检测的最佳病料是（ ）。,胃内容物,结肠内容物,肛门拭⼦,⼩肠前段内容物,⾎液,D,"标准答案：D
出处：押题1.pdf
解析：猪⼤肠杆菌病通常根据其流⾏特点和临诊症状结合剖检即可作出初步诊断，必要时可进⾏实验室检
测，即取⼩肠前段内容物，⽤⽆菌盐⽔轻轻冲洗后刮取黏膜，或取⽔肿病病猪肠系膜淋巴结，接种
麦康凯培养基后，37℃培养18～24h，挑取红⾊菌落做进⼀步培养和⽣化试验，并⽤⼤肠杆菌因⼦⾎
清鉴定⾎清型。因此答案选D。"
综合科目,细菌分离⾸选的培养基是（ ）。,⾎清琼脂培养基,⾎液琼脂培养基,营养琼脂培养基,麦康凯琼脂培养基,营养⾁汤,D,"标准答案：D
出处：押题1.pdf
解析：猪⼤肠杆菌接种麦康凯培养基上，在37℃培养18～24h后，挑取红⾊菌落做进⼀步培养和⽣化试验。
（109～111题共⽤题⼲）
某猪场的⼀批5⽉龄育肥猪，体温和⾷欲正常，但⽣长缓慢，个体⼤⼩不⼀；经常出现咳嗽、⽓喘等
症状。剖检见肺部尖叶、⼼叶、膈叶前缘呈双侧对称性⾁变，其他器官未见异常。"
综合科目,该病最可能的病原是（ ）。,猪链球菌,肺炎⽀原体,布鲁⽒菌,副猪嗜⾎杆菌,巴⽒杆菌,B,"标准答案：B
出处：押题1.pdf
解析：根据题⼲中“肺部尖叶、⼼叶、膈叶前缘呈双侧对称性⾁变”，可疑为肺炎⽀原体。肺炎⽀原体感染
后，剖检最具特征性的典型病变：肺部尖叶、⼼叶、膈叶前缘呈双侧对称性⾁变。因此答案选B。"
综合科目,诊断隐性感染猪的快速⽅法是（ ）。,病原分离,⽩细胞计数,PCR检查,免疫荧光检查,X线检查,E,"标准答案：E
出处：押题1.pdf
解析：X线检测对肺炎⽀原体的诊断有重要价值，尤其是对隐性感染或可疑感染猪的诊断有直观、快速和简
便的优点。"
综合科目,预防该病不宜采⽤的措施是（ ）。,降低饲养密度,早期隔离断奶技术,接种疫苗,饲料中添加氨苄西林,全进全出,D,"标准答案：D
出处：押题1.pdf
解析：对猪肺炎⽀原体较敏感的药物主要有替⽶考星、泰妙菌素、克林霉素、壮观霉素以及喹诺酮等，⽽
青霉素类⽆效。因此答案选D。
（112～114题共⽤题⼲）
贵州某猪场的母猪、种公猪和育肥猪均发⽣⾼热（41～43℃），⾷欲废绝，便秘；有病猪后期下
痢，全⾝⽪肤发红，特别是四肢及腹下较重，呼吸困难，有猪伴有咳嗽，⿐孔流出黏性或脓性⿐
液，严重者全⾝⽪肤发紫。"
综合科目,根据病猪的临床症状，不应考虑的诊断是（ ）。,猪⼸形⾍病,猪疥螨,猪附红细胞体病,猪呼吸繁殖综合征,猪瘟,B,"标准答案：B
出处：押题1.pdf
解析：疥螨病是由疥螨科、疥螨属的疥螨寄⽣在动物表⽪内⽽引起的⽪肤病。因此答案选B。"
综合科目,"采集病猪腹⽔，接种健康⼩⿏，可从⼩⿏的体内分离到⼸形⾍。不需采⽤的治疗⼿段是（
）。",⽤抗⽣素辅助防⽌继发感染,补充能量和体液,⽤磺胺类药物进⾏抗⾍治疗,实施⼿术,⽤解热镇静药物退热,D,"标准答案：D
出处：押题1.pdf
解析：不需采⽤⼿术进⾏治疗。该猪场猪均发⽣⾼热（41～43℃），可以⽤解热镇痛药物退热；猪腹⽔内
有⼸形⾍，可以⽤磺胺类药物进⾏抗⾍治疗，⽤抗⽣素辅助防⽌继发感染；病猪后期下痢，可补充
能量和体液。"
综合科目,以下预防此病措施中，不需要采⽤的是（ ）。,加强对猫的管理,灭淡⽔螺,对污染的环境圈舍进⾏消毒，排泄物⽆害化处理,加强灭蝇、灭蟑螂和灭⿏,隔离病猪,B,"标准答案：B
出处：押题1.pdf
解析：预防重于治疗，具体措施：①禁⽌猫⾃由出⼊圈舍。②屠宰废弃物必须煮熟后⽅可作为饲料。③对
种猪场、重点疫区的猪群、⽺群以及其他群养的易感动物进⾏定期流⾏病学监测，阳性动物只及时
隔离治疗或有计划地淘汰，以消除传染来源。④密切接触家畜的⼈群以及兽医⼯作者应注意个⼈防
护，并定期作⾎清学检测。对免疫功能低下和免疫功能缺陷者，要注意进⾏⾎清学监测与防护。⑤
强化畜禽屠宰加⼯中⼸形⾍检验，发现病畜或其胴体和副产品必须予以销毁。⑥⾁类的充分加⼯以
杀灭包囊。有⽣⾷或半⽣⾷习俗的地区，要进⾏科普教育，移风易俗。
（115～116题共⽤题⼲）
猪，30⽇龄发病，表现结膜潮红、呼吸增快，体温39℃，⾷欲不振、喜饮，起卧不安，频频作排粪
动作，粪便⼲硬带有少量⾎丝。"
综合科目,该病可能是（ ）。,肠便秘,肠扭转,肠炎,肠套叠,胃炎,A,"标准答案：A
出处：押题1.pdf
解析：根据题⼲所述的症状，可知该猪体热便结，属便秘。"
综合科目,治疗该病的药物是（ ）。,硫酸镁,庆⼤霉素,活性炭,次硝酸铋,阿托品,A,"标准答案：A
出处：押题1.pdf
解析：治疗便秘应该使⽤泻药，属于泻药的是硫酸镁。其他或为⽌泻药，或为抗⽣素，保护胃黏膜药物。
（117～118题共⽤题⼲）
某猪场初产母猪，临床⽆异常现象，有的表现延迟发情或久配不上；有的母猪出现流产，产出⽊乃
伊胎、死胎、弱仔猪。有的能正常⽣产，出⽣后仔猪不见异常，但⽣产的仔猪⽣长发育不良，流产
母猪，⼦宫内膜轻度发炎，胎盘有部分钙化，胎⼉在⼦宫内有的被溶解、吸收现象，流产胎⼉充
⾎、出⾎、⽔肿和坏死等。"
综合科目,该病可能是（ ）。,猪丹毒,仔猪副伤寒,猪肺疫,猪喘⽓病,细⼩病毒病,E,"标准答案：E
出处：押题1.pdf
解析：猪细⼩病毒病（PPI）是由猪细⼩病毒感染引起的母猪繁殖障碍性疾病，主要发⽣于初产母猪，其特
征为流产，产死胎、⽊乃伊胎及病弱仔猪，但母猪通常不表现其他临诊症状。"
综合科目,常对免疫的初产母猪进⾏抗体监测⽅法是（ ）。,⾎清中和试验,⾎凝抑制试验,琼脂扩散试验,补体结合试验,ELISA,B,"标准答案：B
出处：押题1.pdf
解析：⾎凝抑制试验、⾎清中和试验、酶联免疫吸附试验、乳胶凝集试验、琼脂扩散试验和补体结合试验
等都可⽤于检测抗体。其中最常⽤的是⾎凝抑制试验。
（119～120题共⽤题⼲）
河北某猪场的20⽇龄仔猪突然出现腹泻，排⼟灰⾊、黄⾊胶冻状或⽔样稀便，混有⼤量黏液和未消
化饲料，味恶臭，很快脱⽔死亡。⼩肠、空肠及回肠呈卡他性炎症，黏膜糜烂，肠黏膜绒⽑萎缩。
未从病死猪的肝、脾和肠系膜分离到细菌。⽤饱和盐⽔漂浮法检查粪便，在粪便中发现表⾯光滑、
呈圆形或椭圆形、有2层卵囊壁的卵囊，囊内有2个孢⼦囊，每个孢⼦囊内有4个⼦孢⼦。"
综合科目,可初步判断此猪场仔猪发⽣的是（ ）。,猪⼸形⾍病,猪⼩袋纤⽑⾍病,猪隐孢⼦⾍病,猪冠尾线⾍病,猪球⾍病,E,"标准答案：E
出处：押题1.pdf
解析：根据题⼲“粪便中发现表⾯光滑、呈圆形或椭圆形、有2层卵囊壁的卵囊，囊内有2个孢⼦囊，每个孢
⼦囊内有4个⼦孢⼦”，可疑为猪球⾍病。猪球⾍病是由猪的艾美⽿球⾍和等孢球⾍寄⽣于猪肠上⽪
细胞引起的⼀种原⾍病。①猪等孢属球⾍的卵囊呈球形或亚球形，内含2个孢⼦囊，每个孢⼦囊内含
4个⼦孢⼦。②发病仔猪主要症状是腹泻，持续4～6d，粪便呈⽔样或糊状，显黄⾊⾄⽩⾊，偶尔由
于潜⾎⽽呈棕⾊。③仔猪球⾍病的病理变化主要是急性肠炎，局限于空肠和回肠。④特征性病变是
空肠和回肠黏膜出现黄⾊纤维素性坏死性伪膜，松弛地附着在充⾎的黏膜上，但只有在严重感染的
仔猪中出现。"
综合科目,引起猪球⾍病的重要病原体是（ ）。,猪住⾁孢⼦⾍,结肠⼩袋纤⽑⾍,⽝新孢⼦⾍,贝⽒隐孢⼦⾍,猪等孢球⾍,E,"标准答案：E
出处：押题1.pdf
解析：猪球⾍病是由猪的艾美⽿球⾍和等孢球⾍寄⽣于猪肠上⽪细胞引起的⼀种原⾍病。本病只发⽣于仔
猪，多呈良性经过；成年猪感染后不出现任何临诊症状，成为隐性带⾍者。
（121～123题共⽤题⼲）
母⽜分娩后不久⾷欲减退，厌⾷精料，反刍和嗳⽓停⽌，排少量糊状粪便。左腹肋⼸部膨⼤，冲击
式触诊可听到液体震荡⾳，穿刺液中⽆纤⽑⾍。直肠检查可感知右侧腹腔上部空虚。"
综合科目,若在左侧膨⼤区听诊同时叩诊，可能会听到（ ）。,啰⾳,清⾳,浊⾳,钢管⾳,⿎⾳,D,"标准答案：D
出处：押题1.pdf
解析：根据题⼲所述症状体征，可初步诊断为皱胃左⽅变位（LAD）。患LAD的⽜的主要临床表现为⾷欲
减退，厌⾷⾕物饲料⽽对粗饲料的⾷欲降低或正常，产奶量下降30%～50%，精神沉郁，瘤胃弛缓，
排粪量减少并含有较多黏液，有时排粪迟滞或腹泻，但体温、脉搏和呼吸正常。直肠检查可感知右
侧腹腔上部空虚，左腹肋⼸部膨⼤；冲击式触诊可听到液体震荡⾳，⽤听诊、叩诊结合⽅法，可听
到类似铁锤叩击钢管发出的钢管⾳。"
综合科目,如果膨⼤部穿刺抽取液的pH⼩于4，本病可能诊断为（ ）。,前胃弛缓,酮病,瓣胃阻塞,皱胃变位,瘤胃积⾷,D,"标准答案：D
出处：押题1.pdf
解析：皱胃变位常常导致⼤量未经消化或消化不全的纤维素提前进⼊皱胃，随同进⼊的纤维素分解菌和纤
⽑⾍在强酸胃液的作⽤下迅速死亡，因此皱胃穿刺抽取液的pH⼩于4，⽆纤⽑⾍。"
综合科目,治疗本病的最佳⽅法是（ ）。,注射⽪质激素,⼿术整复,灌服⼤量温盐⽔,灌服⼤量⾼锰酸钾,注射瘤胃兴奋剂,B,"标准答案：B
出处：押题1.pdf
解析：皱胃左⽅变位是指皱胃由腹中线偏右的正常位置，经瘤胃腹囊与腹腔底壁间潜在空隙移位于腹腔左
壁与瘤胃之间的位置改变。对于皱胃变位的治疗，可以采⽤保守疗法；但对于顽固性病例，最佳⽅
法是⼿术整复。
（124～126题共⽤题⼲）
⽜⾷欲废绝，听诊瘤胃蠕动次数减少，蠕动⾳弱。触诊左侧腹壁紧张，瘤胃内容物坚实，叩诊瘤胃
浊⾳区扩⼤。"
综合科目,本病最可能的诊断是（ ）。,瘤胃臌⽓,皱胃变位,瘤胃积⾷,⾷管阻塞,前胃弛缓,C,"标准答案：C
出处：押题1.pdf
解析：瘤胃积⾷是动物采⾷⼤量粗劣难消化的饲料后，导致瘤胃运动机能障碍、⾷物积滞于瘤胃内，使瘤
胃壁扩张、容积增⼤的疾病，临床上以瘤胃蠕动⾳减弱或消失，腹部胀满，左侧腹壁紧张，触诊瘤
胃内容物坚实，叩诊瘤胃浊⾳区扩⼤为特征。因此，根据病⽜的临床特征，本病最可能的诊断是瘤
胃积⾷。"
综合科目,检查病⽜的排粪情况，很可能（ ）。,增加,减少,呈灰⽩⾊,有烂苹果味,呈⽔样,B,"标准答案：B
出处：押题1.pdf
解析：瘤胃积⾷的病⽜排粪迟滞，粪便⼲少⾊暗，有时排少量恶臭的粪便。"
综合科目,该⽜的体温表现是（ ）。,弛张热,稽留热,回归热,未见明显异常,间歇热,D,"标准答案：D
出处：押题1.pdf
解析：瘤胃积⾷病⽜呼吸急迫增数，脉搏细数，⼀般体温不⾼。
（127～129题共⽤题⼲）
某地⼀群⼭⽺在3⽉份突然发病，⾼热，呼吸困难。⼜⿐有脓性分泌物，⼜腔黏膜先红肿，后破溃。
腹泻、⾎便。病死率75%。剖检见皱胃有糜烂病灶，结肠和直肠结合处有条纹状出⾎。"
综合科目,该病最可能是（ ）。,⽺快疫,⼩反刍兽疫,⼭⽺痘,⽺肠毒⾎症,⼜蹄疫,B,"标准答案：B
出处：押题1.pdf
解析：⼩反刍兽疫主要感染绵⽺和⼭⽺，临床可见：①发病急剧、⾼热稽留、眼⿐分泌物增加、⼜腔糜
烂、腹泻和肺炎。②后期常出现带⾎的⽔样腹泻，病⽺严重脱⽔，消瘦。③病理变化⼫体病变可见
结膜炎、坏死性⼜炎等⾁眼病变，严重病例可蔓延到硬腭及咽喉部。④瘤胃、⽹胃、瓣胃很少出现
病变，皱胃则常出现糜烂病灶，其创⾯出⾎呈红⾊。⑤肠道有糜烂或出⾎变化，特别在结肠和直肠
结合处常常能发现特征性的线状出⾎或斑马样条纹。"
综合科目,该病的病原最可能是（ ）。,⾐原体,朊病毒,病毒,⽴克次体,细菌,C,"标准答案：C
出处：押题1.pdf
解析：⼩反刍兽疫是由⼩反刍兽疫病毒感染引起⼩反刍动物的⼀种急性接触性传染性疾病。因此答案选C。"
